"OBJECTTYPE","PROPERTY","DISPMODE","REQUIRED","HIDDEN","MAXVAL","MINVAL","MAXLEN","FORMAT","FORMATDESC","HASDEPENDANT","HASHIDDENDEPENDANT"
"CFProcess.Workflow.BranchManager","IncomeFromEmployment","READWRITE","0","0",0,0,16,"","","0",""
"CFProcess.Workflow.BranchManager","Allowance","READWRITE","0","0",0,0,16,"","","0",""
"CFProcess.Workflow.BranchManager","IncomeFromBusiness","READWRITE","0","0",0,0,16,"","","0",""
"CFProcess.Workflow.BranchManager","OtherIncome","READWRITE","0","0",0,0,16,"","","0",""
"CFProcess.Workflow.BranchManager","SpouseOrPartnerIncome","READWRITE","0","0",0,0,16,"","","0",""
"CFProcess.Workflow.BranchManager","ProjectedIncomeLeasedAsset","READWRITE","1","0",0,0,16,"","","0",""
"CFProcess.Workflow.BranchManager","HouseRent","READWRITE","0","0",0,0,16,"","","0",""
"CFProcess.Workflow.BranchManager","LoanAndLeaseRePayment","READWRITE","0","0",0,0,16,"","","0",""
"CFProcess.Workflow.BranchManager","LivingExpenses","READWRITE","0","0",0,0,16,"","","0",""
"CFProcess.Workflow.BranchManager","LoanAndLeaseRePayment","READWRITE","0","0",0,0,16,"","","0",""
"CFProcess.Workflow.BranchManager","Evaluation","READWRITE","0","0",0,0,10,"","","0",""
"CFProcess.Workflow.BranchManager","CustomerNIC","READWRITE","1","0",0,0,10,"","","0",""
"BankStatements","Branch","READWRITE","1","0",0,0,0,"","","0",""
"CFProcess.Workflow.HigherApproval","TotalInitialCharge","READWRITE","1","0",0,0,16,"","","0",""
"BankStatements","AccountNo","READWRITE","1","0",0,0,0,"","","0",""
"CFProcess.Workflow.BranchManager","PermanentAddress","READWRITE","1","0",0,0,10,"","","0",""
"CFProcess.Workflow.BranchManager","FacilityNo","READWRITE","1","0",0,0,16,"","","0",""
"CFProcess.Workflow.Justification","PrePaidRentals","READWRITE","1","0",999,0,3,"","","0",""
"CFProcess.Workflow.VehicleValuation","AmountFinance","READWRITE","0","0",0,0,9999999,"","","0",""
"CFProcess.Workflow.ValuationValuer","AmountFinance","READWRITE","0","0",0,0,0,"","","0",""
"CFProcess.Workflow.HigherApproval","AmountPaid","READWRITE","1","0",0,0,16,"","","0",""
"CFProcess.Workflow.DeliveryOrder","CustomerNIC","READWRITE","0","0",0,0,10,"","","0",""
"CFProcess.Workflow.DeliveryOrder","CustomerName","READWRITE","0","0",0,0,0,"","","0",""
"CFProcess.Workflow.DeliveryOrder","PermanentAddress","READWRITE","0","0",0,0,0,"","","0",""
"CFProcess.Workflow.DeliveryOrder","FacilityNumber","READWRITE","0","0",0,0,0,"","","0",""
"CFProcess.Workflow.DeliveryOrder","Make","READWRITE","0","0",20,0,0,"","","0",""
"CFProcess.Workflow.DeliveryOrder","Model","READWRITE","0","0",30,0,0,"","","0",""
"CFProcess.Workflow.DeliveryOrder","ChassisNo","READWRITE","0","0",30,0,0,"","","0",""
"CFProcess.Workflow.Agreements","CustomerNIC","READWRITE","0","0",0,0,10,"","","0",""
"CFProcess.Workflow.Agreements","CustomerName","READWRITE","0","0",0,0,0,"","","0",""
"CFProcess.Workflow.Agreements","PermanentAddress","READWRITE","0","0",0,0,0,"","","0",""
"CFProcess.Workflow.Agreements","Product","READWRITE","0","0",0,0,0,"","","0",""
"CFProcess.Workflow.Agreements","ProductSubType","READWRITE","1","0",0,0,0,"","","0",""
"CFProcess.Workflow.Agreements","LeaseType","READWRITE","1","0",0,0,16,"","","0",""
"CFProcess.Workflow.Agreements","RepayType","READWRITE","0","0",0,0,0,"","","0",""
"CFProcess.Workflow.Agreements","PaymentType","READWRITE","0","0",0,0,0,"","","0",""
"CFProcess.Workflow.Agreements","Period","READWRITE","0","0",0,0,0,"","","0",""
"CFProcess.Workflow.Agreements","PrePaidRentals","READWRITE","0","0",0,0,0,"","","0",""
"CFProcess.Workflow.Agreements","FacilityAmount","READWRITE","0","0",0,0,0,"","","0",""
"CFProcess.Workflow.Agreements","IntrestRate","READWRITE","0","0",0,0,0,"","","0",""
"CFProcess.Workflow.Agreements","LoanAmount","READWRITE","0","0",0,0,0,"","","0",""
"CFProcess.Workflow.Agreements","LoanIntrestRate","READWRITE","0","0",0,0,0,"","","0",""
"CFProcess.Workflow.Agreements","Rental","READWRITE","0","0",0,0,0,"","","0",""
"CFProcess.Workflow.Agreements","FacilityNumber","READWRITE","0","0",0,0,0,"","","0",""
"CFProcess.Workflow.Agreements","Vat","READWRITE","0","0",0,0,0,"","","0",""
"CFProcess.Workflow.Insurance","CustomerName","READWRITE","0","0",0,0,0,"","","0",""
