"OBJECTTYPE"	"PROPERTY"	"LISTDISPNAME"	"LANG"	"DISPNAME"	"VALUE"	"DEPON"	"DEPVALUE"
"SoleProprietors"	"PreferedLanguage"	"PreferedLanguages"	"en_US"	"English"	"English"	""	""
"SoleProprietors"	"PreferedLanguage"	"PreferedLanguages"	"en_US"	"Sinhala"	"Sinhala"	""	""
"SoleProprietors"	"TaxPayer"	"TaxPayers"	"en_US"	"Y"	"Y"	""	""
"SoleProprietors"	"TaxPayer"	"TaxPayers"	"en_US"	"N"	"N"	""	""
"SoleProprietors"	"CRIBClearance"	"CRIBClearances"	"en_US"	"Y"	"Y"	""	""
"SoleProprietors"	"BlackListClearance"	"BlackListClearances"	"en_US"	"Y"	"Y"	""	""
"SoleProprietors"	"BlackListClearance"	"BlackListClearances"	"en_US"	"N"	"N"	""	""
"CFProcess.Workflow.InitialPayments"	"VoucherDiscountDeductable"	"SettlemetOfContracts"	"en_US"	"N"	"N"	""	""
"CFProcess.Workflow.InitialPayments"	"SettlemetOfContractDeductable"	"SettlemetOfContracts"	"en_US"	"Y"	"Y"	""	""
"CFProcess.Workflow.LoanInvestigation"	"LoanInvestigationReport"	"LoanInvestigationReports"	"en_US"	"Very Good"	"Very Good"	""	""
"CFProcess.Workflow.LoanInvestigation"	"LoanInvestigationReport"	"LoanInvestigationReports"	"en_US"	"Good"	"Good"	""	""
"CFProcess.Workflow.LoanInvestigation"	"LoanInvestigationReport"	"LoanInvestigationReports"	"en_US"	"Satisfactory"	"Satisfactory"	""	""
"CFProcess.Workflow.LoanInvestigation"	"LoanInvestigationReport"	"LoanInvestigationReports"	"en_US"	"Poor"	"Poor"	""	""
"CFProcess.Workflow.BranchManager"	"CaseStatus"	"CaseStatuses"	"en_US"	"Reject"	"Reject"	""	""
"CFProcess.Workflow.BranchManager"	"CaseStatus"	"CaseStatuses"	"en_US"	"Approved"	"Approved"	""	""
"CFProcess.Workflow.BranchManager"	"CaseStatus"	"CaseStatuses"	"en_US"	"Re Evaluate"	"Re Evaluate"	""	""
"CFProcess.Workflow.BranchManager"	"CaseStatus"	"CaseStatuses"	"en_US"	"Submit for HigherApproval"	"Submit for HigherApproval"	""	""
"Partnership"	"ProficientCode"	"ProficientCodes"	"en_US"	"05:INDIVIDUALS"	"05:INDIVIDUALS"	""	""
"Partnership"	"ProficientCode"	"ProficientCodes"	"en_US"	"01:LIMITED LIABILITY COMPANY"	"01:LIMITED LIABILITY COMPANY"	""	""
"Partnership"	"ProficientCode"	"ProficientCodes"	"en_US"	"02:PARTNERSHIP"	"02:PARTNERSHIP"	""	""
"Partnership"	"ProficientCode"	"ProficientCodes"	"en_US"	"03:CLUBS SOCITIES"	"03:CLUBS SOCITIES"	""	""
"Partnership"	"ProficientCode"	"ProficientCodes"	"en_US"	"04:SOLE PROPRIETORS"	"04:SOLE PROPRIETORS"	""	""
"Partnership"	"ProficientCode"	"ProficientCodes"	"en_US"	"13:COMPANY EMPLOYEES"	"13:COMPANY EMPLOYEES"	""	""
"Partnership"	"ProficientCode"	"ProficientCodes"	"en_US"	"15:PROFESSIONAL(DOCTORS&ETC)"	"15:PROFESSIONAL(DOCTORS&ETC)"	""	""
"Partnership"	"ProficientCode"	"ProficientCodes"	"en_US"	"99:OTHERS"	"99:OTHERS"	""	""
"Partnership"	"PreferedLanguage"	"PreferedLanguages"	"en_US"	"English"	"English"	""	""
"Partnership"	"PreferedLanguage"	"PreferedLanguages"	"en_US"	"Sinhala"	"Sinhala"	""	""
"Partnership"	"PreferedLanguage"	"PreferedLanguages"	"en_US"	"Tamil"	"Tamil"	""	""
"Partnership"	"TaxPayer"	"TaxPayers"	"en_US"	"Y"	"Y"	""	""
"Partnership"	"TaxPayer"	"TaxPayers"	"en_US"	"N"	"N"	""	""
"LimitedLiabilityCompany"	"PreferedLanguage"	"PreferedLanguages"	"en_US"	"English"	"English"	""	""
"LimitedLiabilityCompany"	"TaxPayer"	"TaxPayers"	"en_US"	"Y"	"Y"	""	""
"LimitedLiabilityCompany"	"TaxPayer"	"TaxPayers"	"en_US"	"N"	"N"	""	""
"SoleProprietors"	"PreferedLanguage"	"PreferedLanguages"	"en_US"	"Tamil"	"Tamil"	""	""
"CFProcess.Workflow.Justification"	"SectorCode"	"SectorCodes"	"en_US"	"AGRICULTURE,FORESTRY,FISHRIES AND MINING(ARG)"	"ARG"	""	""
"CFProcess.Workflow.Justification"	"SectorCode"	"SectorCodes"	"en_US"	"CONSTRUCTION"	"CON"	""	""
"CFProcess.Workflow.Justification"	"SectorCode"	"SectorCodes"	"en_US"	"INDUSTRY"	"IND"	""	""
"CFProcess.Workflow.Justification"	"SectorCode"	"SectorCodes"	"en_US"	"SERVICES"	"SER"	""	""
"CFProcess.Workflow.Justification"	"SectorCode"	"SectorCodes"	"en_US"	"TOURISM"	"TOU"	""	""
"CFProcess.Workflow.Justification"	"SectorCode"	"SectorCodes"	"en_US"	"TRADING"	"TRD"	""	""
"CFProcess.Workflow.Justification"	"SectorCode"	"SectorCodes"	"en_US"	"TRANSPORT"	"TRN"	""	""
"CFProcess.Workflow.Justification"	"SectorCode"	"SectorCodes"	"en_US"	"OTHER"	"OTH"	""	""
"CFProcess.Workflow.Justification"	"SectorCode"	"SectorCodes"	"en_US"	"CULTIVATION"	"CLV"	""	""
"CFProcess.Workflow.Justification"	"SectorCode"	"SectorCodes"	"en_US"	"LIVE STOCK"	"LSK"	""	""
"CFProcess.Workflow.Justification"	"SectorCode"	"SectorCodes"	"en_US"	"FISHERY"	"FIS"	""	""
"CFProcess.Workflow.Justification"	"SectorCode"	"SectorCodes"	"en_US"	"COTTAGE INDUSTRY"	"COI"	""	""
"CFProcess.Workflow.Justification"	"SubSectorCode"	"SubSectorCodesARG"	"en_US"	"FISHRIES"	"FIS"	"SectorCode"	"ARG"
"CFProcess.Workflow.Justification"	"SubSectorCode"	"SubSectorCodesARG"	"en_US"	"OTHER AGRICULTURE"	"OTH"	"SectorCode"	"ARG"
"CFProcess.Workflow.Justification"	"SubSectorCode"	"SubSectorCodesARG"	"en_US"	"TEA"	"C03"	"SectorCode"	"ARG"
"CFProcess.Workflow.Justification"	"SubSectorCode"	"SubSectorCodesARG"	"en_US"	"PRIVATE USE"	"PVT"	"SectorCode"	"ARG"
"CFProcess.Workflow.Justification"	"SubSectorCode"	"SubSectorCodesARG"	"en_US"	"HIRING"	"HIR"	"SectorCode"	"ARG"
"CFProcess.Workflow.Justification"	"SubSectorCode"	"SubSectorCodesARG"	"en_US"	"MINING"	"MIN"	"SectorCode"	"ARG"
"CFProcess.Workflow.Justification"	"SubSectorCode"	"SubSectorCodesARG"	"en_US"	"PAPAYA"	"C02"	"SectorCode"	"ARG"
"CFProcess.Workflow.Justification"	"SubSectorCode"	"SubSectorCodesARG"	"en_US"	"OTHER PERENNIAL"	"C04"	"SectorCode"	"ARG"
"CFProcess.Workflow.Justification"	"SubSectorCode"	"SubSectorCodesARG"	"en_US"	"AGRICULTURE"	"ARG"	"SectorCode"	"ARG"
"CFProcess.Workflow.Justification"	"SubSectorCode"	"SubSectorCodesARG"	"en_US"	"FORESTRY"	"FOR"	"SectorCode"	"ARG"
"CFProcess.Workflow.Justification"	"SubSectorCode"	"SubSectorCodesARG"	"en_US"	"BANANA"	"C01"	"SectorCode"	"ARG"
"CFProcess.Workflow.Justification"	"SubSectorCode"	"SubSectorCodesCLV"	"en_US"	"Paddy"	"CL1"	"SectorCode"	"CLV"
"CFProcess.Workflow.Justification"	"SubSectorCode"	"SubSectorCodesCLV"	"en_US"	"MIX VEGETABLES"	"F02"	"SectorCode"	"CLV"
"CFProcess.Workflow.Justification"	"SubSectorCode"	"SubSectorCodesCLV"	"en_US"	"B Onion"	"F01"	"SectorCode"	"CLV"
"CFProcess.Workflow.Justification"	"SubSectorCode"	"SubSectorCodesCLV"	"en_US"	"PRIVATE USE"	"PVT"	"SectorCode"	"CLV"
"CFProcess.Workflow.Justification"	"SubSectorCode"	"SubSectorCodesCLV"	"en_US"	"OTHER"	"F03"	"SectorCode"	"CLV"
"CFProcess.Workflow.Justification"	"SubSectorCode"	"SubSectorCodesCLV"	"en_US"	"Dry Zone crops"	"CL3"	"SectorCode"	"CLV"
"CFProcess.Workflow.Justification"	"SubSectorCode"	"SubSectorCodesCLV"	"en_US"	"HIRING"	"HIR"	"SectorCode"	"CLV"
"CFProcess.Workflow.Justification"	"SubSectorCode"	"SubSectorCodesCLV"	"en_US"	"Potatoes"	"CL2"	"SectorCode"	"CLV"
"CFProcess.Workflow.Justification"	"SubSectorCode"	"SubSectorCodesCLV"	"en_US"	"Other vegetables"	"CL4"	"SectorCode"	"CLV"
"CFProcess.Workflow.Justification"	"SubSectorCode"	"SubSectorCodesCOI"	"en_US"	"SWEETS"	"B03"	"SectorCode"	"COI"
"CFProcess.Workflow.Justification"	"SubSectorCode"	"SubSectorCodesCOI"	"en_US"	"BRICKS"	"B04"	"SectorCode"	"COI"
"CFProcess.Workflow.Justification"	"SubSectorCode"	"SubSectorCodesCOI"	"en_US"	"AGRO BASED"	"B06"	"SectorCode"	"COI"
"CFProcess.Workflow.Justification"	"SubSectorCode"	"SubSectorCodesCOI"	"en_US"	"POTTERY"	"B02"	"SectorCode"	"COI"
"CFProcess.Workflow.Justification"	"SubSectorCode"	"SubSectorCodesCOI"	"en_US"	"CEMENT BASED"	"B05"	"SectorCode"	"COI"
"CFProcess.Workflow.Justification"	"SubSectorCode"	"SubSectorCodesCOI"	"en_US"	"HANDICRAFT"	"B01"	"SectorCode"	"COI"
"CFProcess.Workflow.Justification"	"SubSectorCode"	"SubSectorCodesCON"	"en_US"	"CIVIL ENGINEERING"	"CVL"	"SectorCode"	"CON"
"CFProcess.Workflow.Justification"	"SubSectorCode"	"SubSectorCodesCON"	"en_US"	"PRIVATE USE"	"PVT"	"SectorCode"	"CON"
"CFProcess.Workflow.Justification"	"SubSectorCode"	"SubSectorCodesCON"	"en_US"	"BUILDINGS"	"BLD"	"SectorCode"	"CON"
"CFProcess.Workflow.Justification"	"SubSectorCode"	"SubSectorCodesCON"	"en_US"	"OTHER CONSTRUCTION"	"OTH"	"SectorCode"	"CON"
"CRBookDetails"	"FuelType"	"FuelTypes"	"en_US"	"HYBRID"	"HYBRID"	""	""
"CRBookDetails"	"FuelType"	"FuelTypes"	"en_US"	"LP GAS"	"LP GAS"	""	""
"CRBookDetails"	"RearSuspensionCondition"	"RearConditions"	"en_US"	"POOR"	"POOR"	""	""
"CRBookDetails"	"SStarter"	"SelfStarters"	"en_US"	"FUNCTIONING"	"FUNCTIONING"	""	""
"CRBookDetails"	"SStarter"	"SelfStarters"	"en_US"	"NOT FUNCTIONING"	"NOT FUNCTIONING"	""	""
"CRBookDetails"	"Wiper"	"Wipers"	"en_US"	"FUNCTIONING"	"FUNCTIONING"	""	""
"CRBookDetails"	"Wiper"	"Wipers"	"en_US"	"NOT FUNCTIONING"	"NOT FUNCTIONING"	""	""
"CRBookDetails"	"Wiper"	"Wipers"	"en_US"	"N/A"	"N/A"	""	""
"CRBookDetails"	"Horn"	"Horns"	"en_US"	"FUNCTIONING"	"FUNCTIONING"	""	""
"CRBookDetails"	"Horn"	"Horns"	"en_US"	"NOT FUNCTIONING"	"NOT FUNCTIONING"	""	""
"CRBookDetails"	"Horn"	"Horns"	"en_US"	"N/A"	"N/A"	""	""
"CRBookDetails"	"Lights"	"Light"	"en_US"	"FUNCTIONING"	"FUNCTIONING"	""	""
"CRBookDetails"	"Lights"	"Light"	"en_US"	"NOT FUNCTIONING"	"NOT FUNCTIONING"	""	""
"CRBookDetails"	"Lights"	"Light"	"en_US"	"N/A"	"N/A"	""	""
"CRBookDetails"	"Meter"	"Meters"	"en_US"	"FUNCTIONING"	"FUNCTIONING"	""	""
"CRBookDetails"	"Meter"	"Meters"	"en_US"	"NOT FUNCTIONING"	"NOT FUNCTIONING"	""	""
"CRBookDetails"	"Meter"	"Meters"	"en_US"	"N/A"	"N/A"	""	""
"CRBookDetails"	"Alternator"	"Alternators"	"en_US"	"FUNCTIONING"	"FUNCTIONING"	""	""
"CRBookDetails"	"Alternator"	"Alternators"	"en_US"	"NOT FUNCTIONING"	"NOT FUNCTIONING"	""	""
"CRBookDetails"	"FootBrakes"	"FootBrake"	"en_US"	"NORMAL"	"NORMAL"	""	""
"CRBookDetails"	"FootBrakes"	"FootBrake"	"en_US"	"ABS"	"ABS"	""	""
"CRBookDetails"	"FootBrakes"	"FootBrake"	"en_US"	"HYDRAULIC"	"HYDRAULIC"	""	""
"CRBookDetails"	"FootBrakes"	"FootBrake"	"en_US"	"DISK"	"DISK"	""	""
"CRBookDetails"	"FootBrakesCondition"	"FootBrakesConditions"	"en_US"	"NOT FUNCTIONING"	"NOT FUNCTIONING"	""	""
"CRBookDetails"	"FootBrakesCondition"	"FootBrakesConditions"	"en_US"	"POOR"	"POOR"	""	""
"CRBookDetails"	"FootBrakesCondition"	"FootBrakesConditions"	"en_US"	"IN-ORDER"	"IN-ORDER"	""	""
"CRBookDetails"	"FootBrakesCondition"	"FootBrakesConditions"	"en_US"	"FUNCTIONING"	"FUNCTIONING"	""	""
"CRBookDetails"	"FootBrakesCondition"	"FootBrakesConditions"	"en_US"	"SERVICEBLE"	"SERVICEBLE"	""	""
"CRBookDetails"	"ParkingBrakesCondition"	"ParkingBrakesConditionS"	"en_US"	"NOT FUNCTIONING"	"NOT FUNCTIONING"	""	""
"CRBookDetails"	"ParkingBrakesCondition"	"ParkingBrakesConditionS"	"en_US"	"N/A"	"N/A"	""	""
"CRBookDetails"	"ParkingBrakesCondition"	"ParkingBrakesConditionS"	"en_US"	"POOR"	"POOR"	""	""
"CRBookDetails"	"ParkingBrakesCondition"	"ParkingBrakesConditionS"	"en_US"	"IN-ORDER"	"IN-ORDER"	""	""
"CRBookDetails"	"ParkingBrakesCondition"	"ParkingBrakesConditionS"	"en_US"	"FUNCTIONING"	"FUNCTIONING"	""	""
"CRBookDetails"	"ParkingBrakesCondition"	"ParkingBrakesConditionS"	"en_US"	"SERVICEBLE"	"SERVICEBLE"	""	""
"CRBookDetails"	"Steering"	"Steerings"	"en_US"	"POWER"	"POWER"	""	""
"CRBookDetails"	"Steering"	"Steerings"	"en_US"	"MANUAL"	"MANUAL"	""	""
"CRBookDetails"	"SteeringCondition"	"Conditions"	"en_US"	"NOT FUNCTIONING"	"NOT FUNCTIONING"	""	""
"CRBookDetails"	"SteeringCondition"	"Conditions"	"en_US"	"N/A"	"N/A"	""	""
"CRBookDetails"	"SteeringCondition"	"Conditions"	"en_US"	"POOR"	"POOR"	""	""
"CRBookDetails"	"SteeringCondition"	"Conditions"	"en_US"	"IN-ORDER"	"IN-ORDER"	""	""
"CRBookDetails"	"SteeringCondition"	"Conditions"	"en_US"	"FUNCTIONING"	"FUNCTIONING"	""	""
"CRBookDetails"	"SteeringCondition"	"Conditions"	"en_US"	"SERVICEBLE"	"SERVICEBLE"	""	""
"CRBookDetails"	"ChassisCondition"	"ChassisConditions"	"en_US"	"FAIR"	"FAIR"	""	""
"CRBookDetails"	"ChassisCondition"	"ChassisConditions"	"en_US"	"SERVICEBLE"	"SERVICEBLE"	""	""
"CRBookDetails"	"Alternator"	"Alternators"	"en_US"	"N/A"	"N/A"	""	""
"CRBookDetails"	"FootBrake"	"FootBrakes"	"en_US"	"HUB"	"HUB"	""	""
"CRBookDetails"	"ChassisCondition"	"ChassisConditions"	"en_US"	"DAMAGED"	"DAMAGED"	""	""
"CRBookDetails"	"ChassisCondition"	"ChassisConditions"	"en_US"	"POOR"	"POOR"	""	""
"CRBookDetails"	"ChassisCondition"	"ChassisConditions"	"en_US"	"RE WELDED"	"RE WELDED"	""	""
"CRBookDetails"	"BodyCondition"	"BodyConditionS"	"en_US"	"VERY POOR"	"VERY POOR"	""	""
"CRBookDetails"	"BodyCondition"	"BodyConditionS"	"en_US"	"GOOD"	"GOOD"	""	""
"CRBookDetails"	"BodyCondition"	"BodyConditionS"	"en_US"	"FAIR"	"FAIR"	""	""
"CRBookDetails"	"BodyCondition"	"BodyConditionS"	"en_US"	"SERVICEABLE"	"SERVICEABLE"	""	""
"CRBookDetails"	"BodyCondition"	"BodyConditionS"	"en_US"	"NEED ATTENTION"	"NEED ATTENTION"	""	""
"CRBookDetails"	"BodyCondition"	"BodyConditionS"	"en_US"	"POOR"	"POOR"	""	""
"CRBookDetails"	"EngineCondition"	"EngineConditionS"	"en_US"	"FAIR"	"FAIR"	""	""
"CRBookDetails"	"EngineCondition"	"EngineConditionS"	"en_US"	"SERVICEABLE"	"SERVICEABLE"	""	""
"CRBookDetails"	"EngineCondition"	"EngineConditionS"	"en_US"	"N/A"	"N/A"	""	""
"CRBookDetails"	"EngineCondition"	"EngineConditionS"	"en_US"	"NEED ATTENTION"	"NEED ATTENTION"	""	""
"CRBookDetails"	"EngineCondition"	"EngineConditionS"	"en_US"	"POOR"	"POOR"	""	""
"CRBookDetails"	"EngineCondition"	"EngineConditionS"	"en_US"	"WASTED"	"WASTED"	""	""
"CRBookDetails"	"ComplianceWithEnvironmentRegulation"	"EnvironmentRegulationS"	"en_US"	"YES"	"YES"	""	""
"CRBookDetails"	"ComplianceWithEnvironmentRegulation"	"EnvironmentRegulationS"	"en_US"	"NO"	"NO"	""	""
